"","Date.Of.Stop","Time.Of.Stop","Agency","SubAgency","Description","Location","Latitude","Longitude","Accident","Belts","Personal.Injury","Property.Damage","Fatal","Commercial.License","HAZMAT","Commercial.Vehicle","Alcohol","Work.Zone","State","VehicleType","Year","Make","Model","Color","Violation.Type","Charge","Article","Contributed.To.Accident","Race","Gender","Driver.City","Driver.State","DL.State","Arrest.Type","Geolocation","State2"
"407584","11/22/2016","19:30:00","MCP","4th district, Wheaton","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","BEL PRE RD AND SUN VALLEY CIR",39.0903866666667,-77.0514383333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2010,"HONDA","CIVIC","GRAY","Citation","13-401(b1)","Transportation Article","No","HISPANIC","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.0903866666667, -77.0514383333333)","Alabama"
"408935","06/02/2016","00:02:00","MCP","3rd district, Silver Spring","FRAUDULENT POSSESSION OF VEH  REG. PLATE","14019 CASTLE BLVD",39.084215,-76.93954,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND PRIX","BLACK","Citation","14-108(a)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(39.084215, -76.93954)","Alabama"
"408963","06/02/2016","00:02:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","14019 CASTLE BLVD",39.084215,-76.93954,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND PRIX","BLACK","Citation","13-409(b)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(39.084215, -76.93954)","Alabama"
"408994","06/02/2016","00:02:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","14019 CASTLE BLVD",39.084215,-76.93954,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND PRIX","BLACK","Citation","13-401(b1)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(39.084215, -76.93954)","Alabama"
"409027","06/02/2016","00:02:00","MCP","3rd district, Silver Spring","KNOWINGLY DRIVING / OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE","14019 CASTLE BLVD",39.084215,-76.93954,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND PRIX","BLACK","Citation","17-107","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(39.084215, -76.93954)","Alabama"
"409061","06/02/2016","00:02:00","MCP","3rd district, Silver Spring","KNOWINGLY USING FALSIFIED VEH. REG. PLATE","14019 CASTLE BLVD",39.084215,-76.93954,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2003,"PONTIAC","GRAND PRIX","BLACK","Citation","14-110(g)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(39.084215, -76.93954)","Alabama"
"412139","05/19/2016","23:16:00","MCP","1st district, Rockville","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","355/E MIDDLE LA",39.0856783333333,-77.1485433333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2006,"DODGE","CHARGE","SILVER","Citation","13-411(f)","Transportation Article","No","BLACK","M","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.0856783333333, -77.1485433333333)","Alabama"
"420182","09/08/2016","14:22:00","MCP","1st district, Rockville","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","MONTROSE RD/FARM HAVEN DR",39.0545566666667,-77.1426983333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2015,"MERZ","S550","GRAY","Citation","21-1124.2(d2)","Transportation Article","No","BLACK","M","POTOMAC","MD","MD","A - Marked Patrol","(39.0545566666667, -77.1426983333333)","Alabama"
"422569","06/10/2016","14:48:00","MCP","3rd district, Silver Spring","KNOWINGLY DRIVING UNINSURED VEHICLE","FENTON ST AT ELLSWORTH DR",38.996525,-77.0251766666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2010,"VOLVO","V70XC","BLUE, DARK","Citation","17-107","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(38.996525, -77.0251766666667)","Alabama"
"422597","06/10/2016","14:48:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","FENTON ST AT ELLSWORTH DR",38.996525,-77.0251766666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2010,"VOLVO","V70XC","BLUE, DARK","Citation","13-401(b1)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(38.996525, -77.0251766666667)","Alabama"
"422625","06/10/2016","14:48:00","MCP","3rd district, Silver Spring","FRAUDULENT POSSESSION OF VEH REG. PLATE","FENTON ST AT ELLSWORTH DR",38.996525,-77.0251766666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2010,"VOLVO","V70XC","BLUE, DARK","Citation","14-108(a)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(38.996525, -77.0251766666667)","Alabama"
"424606","08/17/2016","10:05:00","MCP","Headquarters and Special Operations","EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE","DARNESTOWN RD (EB) AT DUFIEF DR",39.10665,-77.2343666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2016,"CHEVROLET","CRUZE","WHITE","Citation","21-801.1","Transportation Article","No","OTHER","F","CORRYTON","TN","TN","P - Mounted Patrol","(39.10665, -77.2343666666667)","Alabama"
"424718","07/29/2016","11:55:00","MCP","1st district, Rockville","FOLLOWING VEH. TOO CLOSELY","495E/ PRIOR TO EXT 31B",39.0098883333333,-77.0651166666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2016,"CHEVROLET","SILVERADO","RED","Citation","21-310(a)","Transportation Article","No","WHITE","M","DECATUR","AL","AL","A - Marked Patrol","(39.0098883333333, -77.0651166666667)","Alabama"
"440539","05/05/2016","23:26:00","MCP","4th district, Wheaton","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","GEORGIA AVE//CAMERON",38.997795,-77.0302666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"TOYOTA","COROLLA","BLUE","Citation","16-112(c)","Transportation Article","No","BLACK","M","LA PLATA","MD","MD","A - Marked Patrol","(38.997795, -77.0302666666667)","Alabama"
"440557","05/05/2016","23:26:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE","GEORGIA AVE//CAMERON",38.997795,-77.0302666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"TOYOTA","COROLLA","BLUE","Citation","16-303(c)","Transportation Article","No","BLACK","M","LA PLATA","MD","MD","A - Marked Patrol","(38.997795, -77.0302666666667)","Alabama"
"440575","05/05/2016","23:26:00","MCP","4th district, Wheaton","DRIVER CHANGING LANES WHEN UNSAFE","GEORGIA AVE//CAMERON",38.997795,-77.0302666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"TOYOTA","COROLLA","BLUE","Citation","21-309(b)","Transportation Article","No","BLACK","M","LA PLATA","MD","MD","A - Marked Patrol","(38.997795, -77.0302666666667)","Alabama"
"440594","05/05/2016","23:26:00","MCP","4th district, Wheaton","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106, 26-204, 26-206, 27-103","GEORGIA AVE//CAMERON",38.997795,-77.0302666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"TOYOTA","COROLLA","BLUE","Citation","16-303(h)","Transportation Article","No","BLACK","M","LA PLATA","MD","MD","A - Marked Patrol","(38.997795, -77.0302666666667)","Alabama"
"440612","05/05/2016","23:26:00","MCP","4th district, Wheaton","DRIVING  MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION","GEORGIA AVE//CAMERON",38.997795,-77.0302666666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2005,"TOYOTA","COROLLA","BLUE","Citation","16-101(a)","Transportation Article","No","BLACK","M","LA PLATA","MD","MD","A - Marked Patrol","(38.997795, -77.0302666666667)","Alabama"
"450218","05/16/2016","04:25:00","MCP","5th district, Germantown","DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL","I270 NB PRIOR TO WEIGH STATION",39.2538583333333,-77.3026733333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"MERCEDEZ","ML350 - SUV","SILVER","Citation","21-902(a1)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(39.2538583333333, -77.3026733333333)","Alabama"
"450224","05/16/2016","04:25:00","MCP","5th district, Germantown","DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE","I270 NB PRIOR TO WEIGH STATION",39.2538583333333,-77.3026733333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"MERCEDEZ","ML350 - SUV","SILVER","Citation","21-902(a2)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(39.2538583333333, -77.3026733333333)","Alabama"
"450230","05/16/2016","04:25:00","MCP","5th district, Germantown","DRIVING WHILE IMPAIRED BY ALCOHOL","I270 NB PRIOR TO WEIGH STATION",39.2538583333333,-77.3026733333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"MERCEDEZ","ML350 - SUV","SILVER","Citation","21-902(b1)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(39.2538583333333, -77.3026733333333)","Alabama"
"450236","05/16/2016","04:25:00","MCP","5th district, Germantown","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE","I270 NB PRIOR TO WEIGH STATION",39.2538583333333,-77.3026733333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"MERCEDEZ","ML350 - SUV","SILVER","Citation","21-801.1","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(39.2538583333333, -77.3026733333333)","Alabama"
"450243","05/16/2016","04:25:00","MCP","5th district, Germantown","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","I270 NB PRIOR TO WEIGH STATION",39.2538583333333,-77.3026733333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2007,"MERCEDEZ","ML350 - SUV","SILVER","Citation","13-401(b1)","Transportation Article","No","BLACK","M","FREDERICK","MD","MD","A - Marked Patrol","(39.2538583333333, -77.3026733333333)","Alabama"
"452217","07/27/2016","22:00:00","MCP","Headquarters and Special Operations","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","ROCKVILLE PIKE @ OLD GEORGETOWN RD",39.0615183333333,-77.123345,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"GMC","SIERRA PKTK","GOLD","Citation","13-411(f)","Transportation Article","No","WHITE","M","ROCKVILLE","MD","MD","A - Marked Patrol","(39.0615183333333, -77.123345)","Alabama"
"454778","05/26/2016","07:55:00","MCP","6th district, Gaithersburg / Montgomery Village","EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 35 MPH ZONE","RT 124 N/B & RUSSELL AVE",39.156845,-77.2052666666667,"No","No","No","No","No","No","No","No","No","No","AL","01 - Motorcycle",2006,"HONDA","MC FAST","WHITE","Citation","21-801.1","Transportation Article","No","BLACK","M","GAITHERSBURG","MD","TX","Q - Marked Laser","(39.156845, -77.2052666666667)","Alabama"
"458763","06/30/2016","09:31:00","MCP","2nd district, Bethesda","EXCEEDING MAXIMUM SPEED: 44 MPH IN A POSTED 35 MPH ZONE","355/POOKSHILL RD",39.015735,-77.0998916666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"NISSAN","ALTIMA","WHITE","Citation","21-801.1","Transportation Article","No","WHITE","M","ENTERPRISE","AL","AL","Q - Marked Laser","(39.015735, -77.0998916666667)","Alabama"
"459744","04/23/2016","16:55:00","MCP","1st district, Rockville","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","12100 BLOCK PARKLAWN",39.056225,-77.1078883333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2011,"SCION","XB","SILVER","Warning","21-1124.2(d2)","Transportation Article","No","WHITE","F","MONTEVALLO","AL","AL","A - Marked Patrol","(39.056225, -77.1078883333333)","Alabama"
"466655","09/03/2016","21:08:00","MCP","5th district, Germantown","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH","NB I270 AT CLARKSBURG ROAD",39.2283616666667,-77.28281,"No","No","No","No","No","No","No","No","No","No","AL","05 - Light Duty Truck",2016,"NISSAN","PATHINDER","WHITE","Warning","21-801.1","Transportation Article","No","BLACK","F","FREDERICK","MD","MD","A - Marked Patrol","(39.2283616666667, -77.28281)","Alabama"
"468294","07/27/2016","22:00:00","MCP","Headquarters and Special Operations","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","ROCKVILLE PIKE @ OLD GEORGETOWN RD",39.0615183333333,-77.123345,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"GMC","SIERRA PKTK","GOLD","Warning","13-401(b1)","Transportation Article","No","WHITE","M","ROCKVILLE","MD","MD","A - Marked Patrol","(39.0615183333333, -77.123345)","Alabama"
"468295","07/27/2016","22:00:00","MCP","Headquarters and Special Operations","UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE","ROCKVILLE PIKE @ OLD GEORGETOWN RD",39.0615183333333,-77.123345,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"GMC","SIERRA PKTK","GOLD","Warning","13-703(g)","Transportation Article","No","WHITE","M","ROCKVILLE","MD","MD","A - Marked Patrol","(39.0615183333333, -77.123345)","Alabama"
"468685","07/11/2016","13:58:00","MCP","6th district, Gaithersburg / Montgomery Village","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND","SNOUFFER SCHOOL RD /  CENTERWAY RD",39.16773,-77.1743316666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"BMW","740IL","SILVER","Warning","16-112(c)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.16773, -77.1743316666667)","Alabama"
"468686","07/11/2016","13:58:00","MCP","6th district, Gaithersburg / Montgomery Village","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION","SNOUFFER SCHOOL RD /  CENTERWAY RD",39.16773,-77.1743316666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1998,"BMW","740IL","SILVER","Warning","21-1124.2(d2)","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(39.16773, -77.1743316666667)","Alabama"
"468725","06/22/2015","09:48:00","MCP","2nd district, Bethesda","EXCEEDING MAXIMUM SPEED: 34 MPH IN A POSTED 25 MPH ZONE","10400 METROPOLITAN AVE.",38.984955,-77.0896516666667,"No","No","No","No","No","No","No","No","No","No","AL","03 - Station Wagon",2000,"DODG","VN","SILVER","Citation","21-801.1","Transportation Article","No","WHITE","M","SILVER SPRING","MD","MD","Q - Marked Laser","(38.984955, -77.0896516666667)","Alabama"
"470842","05/26/2016","07:55:00","MCP","6th district, Gaithersburg / Montgomery Village","FAILURE TO ATTACH SINGLE REGISTRATION PLATE ON REAR OF VEHICLE AS REQUIRED","RT 124 N/B & RUSSELL AVE",39.156845,-77.2052666666667,"No","No","No","No","No","No","No","No","No","No","AL","01 - Motorcycle",2006,"HONDA","MC FAST","WHITE","Warning","13-411(b2)","Transportation Article","No","BLACK","M","GAITHERSBURG","MD","TX","Q - Marked Laser","(39.156845, -77.2052666666667)","Alabama"
"473441","04/08/2016","20:51:00","MCP","6th district, Gaithersburg / Montgomery Village","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH","355/SUMMIT",39.138,-77.1941016666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2015,"SUBARU","FORESTER","SILVER","Warning","21-801.1","Transportation Article","No","WHITE","F","MADISON","AL","AL","A - Marked Patrol","(39.138, -77.1941016666667)","Alabama"
"476053","09/22/2016","18:07:00","MCP","5th district, Germantown","DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN","GERMANTOWN RD & WISTERIA DR",39.1757316666667,-77.26899,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"TOYOTA","PRIUS","BLACK","Warning","21-202(i1)","Transportation Article","No","BLACK","F","AUBURN","AL","AL","A - Marked Patrol","(39.1757316666667, -77.26899)","Alabama"
"477015","09/14/2016","15:46:00","MCP","5th district, Germantown","DRIVER FAILURE TO STOP AT STOP SIGN LINE","19700 BLK CRYSTAL ROCK DR",39.182175,-77.25965,"No","No","No","No","No","No","No","No","No","No","AB","02 - Automobile",2005,"HONDA","PILOT","RED","Warning","21-707(a)","Transportation Article","No","OTHER","M","DAMASCUS","MD","AB","B - Unmarked Patrol","(39.182175, -77.25965)","Alabama"
"477076","05/11/2016","12:43:00","MCP","4th district, Wheaton","FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP","GEORGIA AVE / BLUERIDGE AVE",39.04355,-77.0522116666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1993,"HOND","CIVIC","GREEN","Warning","22-219(a)","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.04355, -77.0522116666667)","Alabama"
"477077","05/11/2016","12:43:00","MCP","4th district, Wheaton","DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS WHILE OPERATING WINDSHIELD WIPERS","GEORGIA AVE / BLUERIDGE AVE",39.04355,-77.0522116666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",1993,"HOND","CIVIC","GREEN","Warning","22-201.2","Transportation Article","No","BLACK","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.04355, -77.0522116666667)","Alabama"
"478137","06/23/2016","20:42:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","29 @ WAYNE AVE",38.995385,-77.0285816666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2016,"HONDA","ELEMENT","SILVER","Warning","13-409(b)","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(38.995385, -77.0285816666667)","Alabama"
"478138","06/23/2016","20:42:00","MCP","3rd district, Silver Spring","DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS","29 @ WAYNE AVE",38.995385,-77.0285816666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2016,"HONDA","ELEMENT","SILVER","Warning","22-201.2","Transportation Article","No","BLACK","F","WASHINGTON","DC","DC","A - Marked Patrol","(38.995385, -77.0285816666667)","Alabama"
"485708","09/12/2016","16:12:00","MCP","2nd district, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","355 / POOKS HILL",39.014125,-77.099185,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2015,"NISSAN","SUV","BLUE","Warning","13-409(b)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","(39.014125, -77.099185)","Alabama"
"485709","09/12/2016","16:12:00","MCP","2nd district, Bethesda","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 51 IN 35","355 / POOKS HILL",39.014125,-77.099185,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2015,"NISSAN","SUV","BLUE","Warning","21-801(a)","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","(39.014125, -77.099185)","Alabama"
"486391","04/06/2016","23:00:00","MCP","3rd district, Silver Spring","DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT","GEORGIA AVE AT BLAIR MILL RD",38.989055,-77.0269033333333,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2004,"TOYOTA","CROLLA","BLUE","Warning","23-104","Transportation Article","No","BLACK","M","SILVER SPRING","MD","MD","A - Marked Patrol","(38.989055, -77.0269033333333)","Alabama"
"489086","04/17/2016","22:36:00","MCP","3rd district, Silver Spring","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","GEORGIA AVE @ COLESVILLE RD",39.0049883333333,-77.02299,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"NISSAN","4S","GRAY","Warning","13-409(b)","Transportation Article","No","BLACK","M","WASHINGTON","DC","AL","A - Marked Patrol","(39.0049883333333, -77.02299)","Alabama"
"489087","04/17/2016","22:36:00","MCP","3rd district, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","GEORGIA AVE @ COLESVILLE RD",39.0049883333333,-77.02299,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"NISSAN","4S","GRAY","Warning","13-411(f)","Transportation Article","No","BLACK","M","WASHINGTON","DC","AL","A - Marked Patrol","(39.0049883333333, -77.02299)","Alabama"
"489088","04/17/2016","22:36:00","MCP","3rd district, Silver Spring","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","GEORGIA AVE @ COLESVILLE RD",39.0049883333333,-77.02299,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"NISSAN","4S","GRAY","Warning","21-201(a1)","Transportation Article","No","BLACK","M","WASHINGTON","DC","AL","A - Marked Patrol","(39.0049883333333, -77.02299)","Alabama"
"490158","05/27/2016","17:43:00","MCP","4th district, Wheaton","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY","NORBECK RD AT NADINE DR",39.0989016666667,-77.09947,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2009,"TOYOTA","TACOMA","BLUE","Warning","21-801(a)","Transportation Article","No","WHITE","F","GRAND BAY","AL","AL","A - Marked Patrol","(39.0989016666667, -77.09947)","Alabama"
"492582","09/01/2015","11:27:00","MCP","1st district, Rockville","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","CRABBS BRANCH WAY @ INDIANOLA DR",39.1164866666667,-77.1567366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"FORD","MUSTANG","RED","Citation","13-411(d)","Transportation Article","No","WHITE","M","MONTGOMERY VILLAGE","MD","MD","L - Motorcycle","(39.1164866666667, -77.1567366666667)","Alabama"
"492860","09/01/2015","11:27:00","MCP","1st district, Rockville","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER","CRABBS BRANCH WAY @ INDIANOLA DR",39.1164866666667,-77.1567366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"FORD","MUSTANG","RED","Citation","13-409(b)","Transportation Article","No","WHITE","M","MONTGOMERY VILLAGE","MD","MD","L - Motorcycle","(39.1164866666667, -77.1567366666667)","Alabama"
"493061","09/01/2015","11:27:00","MCP","1st district, Rockville","KNOWINGLY DRIVING / OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE","CRABBS BRANCH WAY @ INDIANOLA DR",39.1164866666667,-77.1567366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"FORD","MUSTANG","RED","Citation","17-107","Transportation Article","No","WHITE","M","MONTGOMERY VILLAGE","MD","MD","L - Motorcycle","(39.1164866666667, -77.1567366666667)","Alabama"
"493320","09/01/2015","11:27:00","MCP","1st district, Rockville","FALSIFYING/ATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENT/PLATE ISSUED BY AD.","CRABBS BRANCH WAY @ INDIANOLA DR",39.1164866666667,-77.1567366666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2002,"FORD","MUSTANG","RED","Citation","14-110(b)","Transportation Article","No","WHITE","M","MONTGOMERY VILLAGE","MD","MD","L - Motorcycle","(39.1164866666667, -77.1567366666667)","Alabama"
"495159","03/17/2015","07:30:00","MCP","2nd district, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS","POOKS HILL RD AT LINDEN AV",39.0128366666667,-77.1061816666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2013,"NISS","4D","BLUE, LIGHT","Citation","21-201(a1)","Transportation Article","No","WHITE","M","WINTER SPRINGS","FL","FL","A - Marked Patrol","(39.0128366666667, -77.1061816666667)","Alabama"
"507325","06/11/2015","10:37:00","MCP","5th district, Germantown","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","LUCKETT ST AND ANDRESON AVE",39.0856866666667,-77.162205,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2001,"BMW","325I","GRAY","Citation","13-411(f)","Transportation Article","No","BLACK","M","GAITHERSBURG","MD","MD","A - Marked Patrol","(39.0856866666667, -77.162205)","Alabama"
"507874","07/29/2016","11:44:00","MCP","3rd district, Silver Spring","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS","9127 GEORGIA AVE",39.006095,-77.0385366666667,"No","No","No","No","No","No","No","No","No","No","AL","03 - Station Wagon",2007,"LEXUS","RX350","GRAY","Warning","13-411(d)","Transportation Article","No","WHITE","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.006095, -77.0385366666667)","Alabama"
"507875","07/29/2016","11:44:00","MCP","3rd district, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE","9127 GEORGIA AVE",39.006095,-77.0385366666667,"No","No","No","No","No","No","No","No","No","No","AL","03 - Station Wagon",2007,"LEXUS","RX350","GRAY","Warning","13-411(f)","Transportation Article","No","WHITE","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.006095, -77.0385366666667)","Alabama"
"507876","07/29/2016","11:44:00","MCP","3rd district, Silver Spring","OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY","9127 GEORGIA AVE",39.006095,-77.0385366666667,"No","No","No","No","No","No","No","No","No","No","AL","03 - Station Wagon",2007,"LEXUS","RX350","GRAY","Warning","13-401(b1)","Transportation Article","No","WHITE","F","SILVER SPRING","MD","MD","A - Marked Patrol","(39.006095, -77.0385366666667)","Alabama"
"508988","07/22/2016","01:02:00","MCP","3rd district, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND","N/B GEORGIA AVE @ COLESVILLE RD",38.99943,-77.0314566666667,"No","No","No","No","No","No","No","No","No","No","AL","02 - Automobile",2014,"NISSAN","MURANO","BLUE","Warning","22-201.1","Transportation Article","No","BLACK","M","BIRMINGHAM","AL","AL","A - Marked Patrol","(38.99943, -77.0314566666667)","Alabama"
